Year,Text
sometimes so hard to travel that men and women faint by the way. But we
have faith in humanity. We refuse to believe that there is nothing to be done
but conserve the present order, which is disorder; or that the misery, the
demoralisation and the ruin that it causes to innocent men and women and
children can be remedied by the perpetual repetition of the abstract
principles of Individualism.

We appeal to the People to support us in our steadfast march - taking each
step only after careful examination, making sure of each advance as we go,
and using each success as the beginning of further achievements towards a
really Socialist Commonwealth, in which there shall at least be opportunity
for Good Will to conquer Hate and Strife, and for Brotherhood, if not to
supersede Greed, at least to set due bounds to that competition which leads
only to loss and death.

Political News.co.uk

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

 

http://www. labour-party.org.uk/manifestos/1924/1924-labour-manifesto.shtml Page 6 of 6

"
1929,"1929 Labour Party Manifesto - 13/06/2024, 13:06

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > 1929 > Manifesto text in a single long
file

1929 Labour Party General
Election Manifesto

 

Labour's appeal to the nation

The long-awaited opportunity has now come for the Nation to give its
verdict on the present Government.

By its inaction during four critical years it has multiplied our difficulties and
increased our dangers. Unemployment is more acute than when Labour left
office. International relations are worse. Vast areas of the country are
derelict. The posters on our hoardings announcing the grim truth that 'a
million of our fellow countrymen are needing food and clothing' tell how the
Government has failed. In the face of such a state of things this Tory
Government has sat supinely with folded arms without a policy, without a
vision, waiting for Providence or charity to do its work. For nine months the
Government watched the paralysing struggle in the Coal Industry. It aided
and abetted the mine owners when they locked out the men, and provoked
the industrial unrest that led to the General Strike, for which the Government
was mainly responsible. The Government's further record is that it has
helped its friends by remissions of taxation, whilst it has robbed the funds of
the workers' National Health Insurance Societies, reduced Unemployment
Benefits, and thrown thousands of workless men and women on to the Poor
law.

Tories tax the poor

The Tory Government has added £38 000,000 to indirect taxation, which is
an increased burden on the wage-earners, shop-keepers and lower middle
classes. In its only Budget the Labour Government reduced the Food Taxes
by £25 000,000. Now that the Election is in sight the Tory Chancellor has
repealed what was left of the Tea Duty but has retained the duties on sugar,
coffee and cocoa and other foods. This remission only amounts to one-sixth
of the additional indirect taxation he has added in the last four years.

Whilst every economic influence has been tending to reduce the cost of
living the Government's policy has been to put obstacles in the way. It means

http://www. labour-party.org.uk/manifestos/1929/1929-labour-manifesto.shtml Page 1 of 7

1929 Labour Party Manifesto - 13/06/2024, 13:06

to continue this policy. The Tory plan for solving Unemployment and
improving trade - called 'Safeguarding' was denounced by the Prime
Minister in 1923 as 'pottering along'. He was right, as experience shows.
'Safeguarded' countries have unemployment, low wages and sweating,
poverty, generally corrupt politics, and high costs of living.

The old bogey

In order to hide their record of incompetence and reaction, Tory leaders are
trying to frighten the electors with horrifying pictures of the disasters which
would come upon the country if a Labour Government were returned. It was
such scaremongering tactics as this which gave the Tories a majority at the
last Election. We do not believe that the voters will be misled a second time
by such discreditable deception.

We warn the electors against the misrepresentations of Socialism and the
aims and Policy of the Labour Party, which are already pouring from our
opponents.

The Labour Party is neither Bolshevik nor Communist. It is opposed to
force, revolution and confiscation as means of establishing the New Social
Order. It believes in ordered progress and in democratic methods.

Unemployment

The Labour Party gives an unqualified pledge to deal immediately and
practically with this question. Its record on Unemployment is a guarantee
that this pledge will be kept. Only by the unceasing advocacy of Labour
